sndmoeda;cambio
BGN;1.9558
CZK;24.406
DKK;7.4559
EUR;1
GBP;0.86818
HRK;7.5345
HUF;379.88
PLN;4.3638
RON;4.9698
SEK;11.439
US ;1.0916
