Range;Portugal;Hungary;Denmark;Sweden;Germany;Spain;Italy;All Other
0 - 50;3.6;9.1;6.5;8.1;8.1;9.1;7.9;9.1
50 - 100;3.6;12.1;6.5;8.1;8.1;12.1;8.8;12.1
100 - 250;4.2;12.1;11.1;9.3;12.4;12.1;10.6;12.4
250 - 500;4.2;14.1;14.5;10.6;14.3;14.1;11.9;14.5
500 - 1000;6.9;30.1;14.5;11.5;16.4;30.1;16.2;30.1
1000 - 2000;6.9;30.1;18.1;14.3;26.1;30.1;22.5;30.1
